번호,region,총인구,남자,여자,총내국인,남자내국인,여자내국인,code1
5,중구,40487,19942,20545,37584,18076,19508,"['21010', '중구']"
6,서구,103883,49963,53920,101024,48329,52695,"['21020', '서구']"
7,동구,87477,42286,45191,84961,41093,43868,"['21030', '동구']"
8,영도구,109389,54755,54634,106512,52936,53576,"['21040', '영도구']"
9,부산진구,355644,169804,185840,352352,168513,183839,"['21050', '부산진구']"
10,동래구,265047,127737,137310,263669,127241,136428,"['21060', '동래구']"
11,남구,258412,126231,132181,250365,122170,128195,"['21070', '남구']"
12,북구,270951,132930,138021,268216,131775,136441,"['21080', '북구']"
13,해운대구,370849,178232,192617,366197,175951,190246,"['21090', '해운대구']"
14,사하구,298826,148443,150383,292932,144824,148108,"['21100', '사하구']"
15,금정구,221890,107689,114201,216385,105541,110844,"['21110', '금정구']"
16,강서구,144102,76751,67351,136800,70487,66313,"['21120', '강서구']"
17,연제구,198491,94451,104040,197365,94012,103353,"['21130', '연제구']"
18,수영구,170220,79677,90543,168390,78846,89544,"['21140', '수영구']"
19,사상구,208245,104127,104118,201238,100366,100872,"['21150', '사상구']"
20,기장군,175691,87263,88428,172558,85143,87415,"['21510', '기장군']"
